10,2011-06-02,08:31:51,16:13:47,Poznań
10,2011-06-06,08:40:33,16:37:40,Wrocław
10,2011-06-07,15:56:10,17:01:33,Piła
10,2011-06-01,08:38:43,17:19:02,Piła
10,2011-06-09,08:38:38,16:34:11,Łódź
10,2011-06-03,08:26:05,10:21:44,Łódź
10,2011-06-13,09:57:07,16:57:04,Piła
10,2011-06-08,08:45:31,17:21:25,Poznań
10,2011-06-15,08:40:46,17:25:57,Łódź
10,2011-06-10,08:41:13,16:22:29,Wrocław
10,2011-06-17,08:44:08,17:04:20,Piła
10,2011-06-14,08:35:00,16:55:17,Poznań
10,2011-06-21,08:38:52,16:53:31,Łódź
10,2011-06-16,08:16:38,16:16:55,Wrocław
10,2011-06-27,08:11:44,17:42:40,Piła
10,2011-06-20,08:21:16,16:49:43,Poznań
10,2011-06-29,08:26:27,16:34:32,Łódź
10,2011-06-22,08:36:58,17:37:29,Wrocław
10,2011-06-30,08:34:01,17:10:20,Wrocław
10,2011-06-28,08:22:04,17:17:21,Poznań
10,2011-07-01,08:36:29,16:41:45,Piła
10,2011-07-04,08:35:50,16:52:28,Poznań
10,2011-07-05,08:26:28,18:11:53,Łódź
10,2011-07-06,08:24:57,17:19:37,Wrocław
10,2011-07-07,08:33:07,17:08:17,Piła
10,2011-07-08,07:38:10,13:39:57,Poznań
10,2011-07-11,08:33:13,17:32:08,Łódź
10,2011-07-12,08:31:23,17:46:48,Wrocław
10,2011-07-13,08:50:18,17:58:13,Piła
10,2011-07-14,08:33:03,18:07:52,Poznań
10,2011-07-15,08:35:10,17:35:42,Łódź
10,2011-07-18,08:40:54,17:12:12,Wrocław
10,2011-07-19,12:10:19,16:24:05,Piła
10,2011-07-20,08:35:00,17:45:06,Poznań
10,2011-07-21,08:39:49,16:57:41,Łódź
10,2011-07-22,08:35:30,16:40:47,Wrocław
10,2011-07-25,08:39:01,16:39:11,Piła
10,2011-07-26,08:35:35,16:42:31,Poznań
10,2011-07-27,08:38:20,17:20:41,Łódź
10,2011-07-28,08:36:31,17:10:37,Wrocław
10,2011-07-29,08:38:59,16:54:10,Piła
10,2011-08-01,08:37:55,16:54:13,Poznań
10,2011-08-02,08:33:41,16:31:29,Łódź
10,2011-08-03,08:44:45,18:02:16,Wrocław
10,2011-08-04,08:46:11,16:57:44,Piła
10,2011-08-05,08:38:51,16:50:42,Poznań
10,2011-08-08,08:49:52,16:52:47,Łódź
10,2011-08-09,08:47:23,17:07:37,Wrocław
10,2011-08-10,08:46:27,17:06:13,Piła
10,2011-08-11,08:39:53,17:00:22,Poznań
10,2011-08-12,08:39:16,16:52:46,Łódź
10,2011-08-23,08:35:57,17:48:18,Wrocław
